id	name	gender	age	degree	stream	college_name	placement_status	salary	gpa	years_of_experience
52	Anna Cooper	Female	25	Bachelor's	Mechanical Engineering	University of Washington	Placed	67000	3.8	3.0
53	Lucas Reed	Male	26	Bachelor's	Computer Science	University of California--Berkeley	Placed	66000	3.9	3.0
54	Sophia Price	Female	24	Bachelor's	Electronics and Communication	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
55	Mason Parker	Male	23	Bachelor's	Information Technology	University of Colorado--Boulder	Placed	66000	3.7	2.0
56	Olivia Moore	Female	25	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
57	William Hernandez	Male	24	Bachelor's	Information Technology	University of Maryland--College Park	Placed	63000	3.7	2.0
58	Amelia Rivera	Female	26	Bachelor's	Computer Science	University of Rochester	Placed	62000	3.8	3.0
59	Ethan Turner	Male	23	Bachelor's	Electrical Engineering	University of California--Santa Cruz	Placed	60000	3.7	2.0
60	Isabella Perez	Female	25	Bachelor's	Mechanical Engineering	University of Connecticut	Placed	61000	3.5	1.0
61	Daniel Martinez	Male	24	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
62	Mia Gonzalez	Female	26	Bachelor's	Electronics and Communication	University of Delaware	Placed	65000	3.7	1.0
63	Alexander Rodriguez	Male	23	Bachelor's	Information Technology	University of California--San Francisco	Placed	66000	3.8	3.0
64	Olivia Moore	Female	25	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
65	Jack Bailey	Male	26	Bachelor's	Electrical Engineering	University of Virginia	Placed	64000	3.9	2.0
66	Charlotte Ross	Female	24	Bachelor's	Mechanical Engineering	University of California--Santa Cruz	Not Placed	0	3.4	1.0
67	Owen Brooks	Male	23	Bachelor's	Computer Science	University of California--San Diego	Placed	65000	3.7	2.0
68	Grace Watson	Female	25	Bachelor's	Electronics and Communication	University of Texas--Austin	Placed	66000	3.8	3.0
69	Liam Russell	Male	26	Bachelor's	Information Technology	University of California--Los Angeles	Placed	67000	3.9	3.0
70	Chloe Peterson	Female	24	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	68000	3.9	3.0
71	Elijah Kelly	Male	23	Bachelor's	Electrical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
72	Anna Cooper	Female	25	Bachelor's	Mechanical Engineering	University of Washington	Placed	67000	3.8	3.0
73	Lucas Reed	Male	26	Bachelor's	Computer Science	University of California--Berkeley	Placed	66000	3.9	3.0
74	Sophia Price	Female	24	Bachelor's	Electronics and Communication	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
75	Mason Parker	Male	23	Bachelor's	Information Technology	University of Colorado--Boulder	Placed	66000	3.7	2.0
76	Olivia Moore	Female	25	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
77	William Hernandez	Male	24	Bachelor's	Information Technology	University of Maryland--College Park	Placed	63000	3.7	2.0
78	Amelia Rivera	Female	26	Bachelor's	Computer Science	University of Rochester	Placed	62000	3.8	3.0
79	Ethan Turner	Male	23	Bachelor's	Electrical Engineering	University of California--Santa Cruz	Placed	60000	3.7	2.0
80	Isabella Perez	Female	25	Bachelor's	Mechanical Engineering	University of Connecticut	Placed	61000	3.5	1.0
81	Daniel Martinez	Male	24	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
82	Mia Gonzalez	Female	26	Bachelor's	Electronics and Communication	University of Delaware	Placed	65000	3.7	1.0
83	Alexander Rodriguez	Male	23	Bachelor's	Information Technology	University of California--San Francisco	Placed	66000	3.8	3.0
84	Olivia Moore	Female	25	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
85	Jack Bailey	Male	26	Bachelor's	Electrical Engineering	University of Virginia	Placed	64000	3.9	2.0
86	Charlotte Ross	Female	24	Bachelor's	Mechanical Engineering	University of California--Santa Cruz	Not Placed	0	3.4	1.0
87	Owen Brooks	Male	23	Bachelor's	Computer Science	University of California--San Diego	Placed	65000	3.7	2.0
88	Grace Watson	Female	25	Bachelor's	Electronics and Communication	University of Texas--Austin	Placed	66000	3.8	3.0
89	Liam Russell	Male	26	Bachelor's	Information Technology	University of California--Los Angeles	Placed	67000	3.9	3.0
90	Chloe Peterson	Female	24	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	68000	3.9	3.0
91	Elijah Kelly	Male	23	Bachelor's	Electrical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
92	Anna Cooper	Female	25	Bachelor's	Mechanical Engineering	University of Washington	Placed	67000	3.8	3.0
93	Lucas Reed	Male	26	Bachelor's	Computer Science	University of California--Berkeley	Placed	66000	3.9	3.0
94	Sophia Price	Female	24	Bachelor's	Electronics and Communication	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
95	Mason Parker	Male	23	Bachelor's	Information Technology	University of Colorado--Boulder	Placed	66000	3.7	2.0
96	Olivia Moore	Female	25	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
97	William Hernandez	Male	24	Bachelor's	Information Technology	University of Maryland--College Park	Placed	63000	3.7	2.0
98	Amelia Rivera	Female	26	Bachelor's	Computer Science	University of Rochester	Placed	62000	3.8	3.0
99	Ethan Turner	Male	23	Bachelor's	Electrical Engineering	University of California--Santa Cruz	Placed	60000	3.7	2.0
100	Isabella Perez	Female	25	Bachelor's	Mechanical Engineering	University of Connecticut	Placed	61000	3.5	1.0
101	Daniel Martinez	Male	24	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
102	Mia Gonzalez	Female	26	Bachelor's	Electronics and Communication	University of Delaware	Placed	65000	3.7	1.0
103	Alexander Rodriguez	Male	23	Bachelor's	Information Technology	University of California--San Francisco	Placed	66000	3.8	3.0
104	Olivia Moore	Female	25	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
105	Jack Bailey	Male	26	Bachelor's	Electrical Engineering	University of Virginia	Placed	64000	3.9	2.0
106	Charlotte Ross	Female	24	Bachelor's	Mechanical Engineering	University of California--Santa Cruz	Not Placed	0	3.4	1.0
107	Owen Brooks	Male	23	Bachelor's	Computer Science	University of California--San Diego	Placed	65000	3.7	2.0
108	Grace Watson	Female	25	Bachelor's	Electronics and Communication	University of Texas--Austin	Placed	66000	3.8	3.0
109	Liam Russell	Male	26	Bachelor's	Information Technology	University of California--Los Angeles	Placed	67000	3.9	3.0
110	Chloe Peterson	Female	24	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	68000	3.9	3.0
111	Elijah Kelly	Male	23	Bachelor's	Electrical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
112	Anna Cooper	Female	25	Bachelor's	Mechanical Engineering	University of Washington	Placed	67000	3.8	3.0
113	Lucas Reed	Male	26	Bachelor's	Computer Science	University of California--Berkeley	Placed	66000	3.9	3.0
114	Sophia Price	Female	24	Bachelor's	Electronics and Communication	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
115	Mason Parker	Male	23	Bachelor's	Information Technology	University of Colorado--Boulder	Placed	66000	3.7	2.0
116	Olivia Moore	Female	25	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
117	William Hernandez	Male	24	Bachelor's	Information Technology	University of Maryland--College Park	Placed	63000	3.7	2.0
118	Amelia Rivera	Female	26	Bachelor's	Computer Science	University of Rochester	Placed	62000	3.8	3.0
119	Ethan Turner	Male	23	Bachelor's	Electrical Engineering	University of California--Santa Cruz	Placed	60000	3.7	2.0
120	Isabella Perez	Female	25	Bachelor's	Mechanical Engineering	University of Connecticut	Placed	61000	3.5	1.0
121	Daniel Martinez	Male	24	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
122	Mia Gonzalez	Female	26	Bachelor's	Electronics and Communication	University of Delaware	Placed	65000	3.7	1.0
123	Alexander Rodriguez	Male	23	Bachelor's	Information Technology	University of California--San Francisco	Placed	66000	3.8	3.0
124	Olivia Moore	Female	25	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
125	Jack Bailey	Male	26	Bachelor's	Electrical Engineering	University of Virginia	Placed	64000	3.9	2.0
126	Charlotte Ross	Female	24	Bachelor's	Mechanical Engineering	University of California--Santa Cruz	Not Placed	0	3.4	1.0
127	Owen Brooks	Male	23	Bachelor's	Computer Science	University of California--San Diego	Placed	65000	3.7	2.0
128	Grace Watson	Female	25	Bachelor's	Electronics and Communication	University of Texas--Austin	Placed	66000	3.8	3.0
129	Liam Russell	Male	26	Bachelor's	Information Technology	University of California--Los Angeles	Placed	67000	3.9	3.0
130	Chloe Peterson	Female	24	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	68000	3.9	3.0
131	Elijah Kelly	Male	23	Bachelor's	Electrical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
132	Anna Cooper	Female	25	Bachelor's	Mechanical Engineering	University of Washington	Placed	67000	3.8	3.0
133	Lucas Reed	Male	26	Bachelor's	Computer Science	University of California--Berkeley	Placed	66000	3.9	3.0
134	Sophia Price	Female	24	Bachelor's	Electronics and Communication	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
135	Mason Parker	Male	23	Bachelor's	Information Technology	University of Colorado--Boulder	Placed	66000	3.7	2.0
136	Olivia Moore	Female	25	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
137	William Hernandez	Male	24	Bachelor's	Information Technology	University of Maryland--College Park	Placed	63000	3.7	2.0
138	Amelia Rivera	Female	26	Bachelor's	Computer Science	University of Rochester	Placed	62000	3.8	3.0
139	Ethan Turner	Male	23	Bachelor's	Electrical Engineering	University of California--Santa Cruz	Placed	60000	3.7	2.0
140	Isabella Perez	Female	25	Bachelor's	Mechanical Engineering	University of Connecticut	Placed	61000	3.5	1.0
141	Daniel Martinez	Male	24	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
142	Mia Gonzalez	Female	26	Bachelor's	Electronics and Communication	University of Delaware	Placed	65000	3.7	1.0
143	Alexander Rodriguez	Male	23	Bachelor's	Information Technology	University of California--San Francisco	Placed	66000	3.8	3.0
144	Olivia Moore	Female	25	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
145	Jack Bailey	Male	26	Bachelor's	Electrical Engineering	University of Virginia	Placed	64000	3.9	2.0
146	Charlotte Ross	Female	24	Bachelor's	Mechanical Engineering	University of California--Santa Cruz	Not Placed	0	3.4	1.0
147	Owen Brooks	Male	23	Bachelor's	Computer Science	University of California--San Diego	Placed	65000	3.7	2.0
148	Grace Watson	Female	25	Bachelor's	Electronics and Communication	University of Texas--Austin	Placed	66000	3.8	3.0
149	Liam Russell	Male	26	Bachelor's	Information Technology	University of California--Los Angeles	Placed	67000	3.9	3.0
150	Chloe Peterson	Female	24	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	68000	3.9	3.0
151	Elijah Kelly	Male	23	Bachelor's	Electrical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
152	Anna Cooper	Female	25	Bachelor's	Mechanical Engineering	University of Washington	Placed	67000	3.8	3.0
153	Lucas Reed	Male	26	Bachelor's	Computer Science	University of California--Berkeley	Placed	66000	3.9	3.0
154	Sophia Price	Female	24	Bachelor's	Electronics and Communication	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
155	Mason Parker	Male	23	Bachelor's	Information Technology	University of Colorado--Boulder	Placed	66000	3.7	2.0
156	Olivia Moore	Female	25	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
157	William Hernandez	Male	24	Bachelor's	Information Technology	University of Maryland--College Park	Placed	63000	3.7	2.0
158	Amelia Rivera	Female	26	Bachelor's	Computer Science	University of Rochester	Placed	62000	3.8	3.0
159	Ethan Turner	Male	23	Bachelor's	Electrical Engineering	University of California--Santa Cruz	Placed	60000	3.7	2.0
160	Isabella Perez	Female	25	Bachelor's	Mechanical Engineering	University of Connecticut	Placed	61000	3.5	1.0
161	Daniel Martinez	Male	24	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
162	Mia Gonzalez	Female	26	Bachelor's	Electronics and Communication	University of Delaware	Placed	65000	3.7	1.0
163	Alexander Rodriguez	Male	23	Bachelor's	Information Technology	University of California--San Francisco	Placed	66000	3.8	3.0
164	Olivia Moore	Female	25	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
165	Jack Bailey	Male	26	Bachelor's	Electrical Engineering	University of Virginia	Placed	64000	3.9	2.0
166	Charlotte Ross	Female	24	Bachelor's	Mechanical Engineering	University of California--Santa Cruz	Not Placed	0	3.4	1.0
167	Owen Brooks	Male	23	Bachelor's	Computer Science	University of California--San Diego	Placed	65000	3.7	2.0
168	Grace Watson	Female	25	Bachelor's	Electronics and Communication	University of Texas--Austin	Placed	66000	3.8	3.0
169	Liam Russell	Male	26	Bachelor's	Information Technology	University of California--Los Angeles	Placed	67000	3.9	3.0
170	Chloe Peterson	Female	24	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	68000	3.9	3.0
171	Elijah Kelly	Male	23	Bachelor's	Electrical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
172	Anna Cooper	Female	25	Bachelor's	Mechanical Engineering	University of Washington	Placed	67000	3.8	3.0
173	Lucas Reed	Male	26	Bachelor's	Computer Science	University of California--Berkeley	Placed	66000	3.9	3.0
174	Sophia Price	Female	24	Bachelor's	Electronics and Communication	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
175	Mason Parker	Male	23	Bachelor's	Information Technology	University of Colorado--Boulder	Placed	66000	3.7	2.0
176	Olivia Moore	Female	25	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
177	William Hernandez	Male	24	Bachelor's	Information Technology	University of Maryland--College Park	Placed	63000	3.7	2.0
178	Amelia Rivera	Female	26	Bachelor's	Computer Science	University of Rochester	Placed	62000	3.8	3.0
179	Ethan Turner	Male	23	Bachelor's	Electrical Engineering	University of California--Santa Cruz	Placed	60000	3.7	2.0
180	Isabella Perez	Female	25	Bachelor's	Mechanical Engineering	University of Connecticut	Placed	61000	3.5	1.0
181	Daniel Martinez	Male	24	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
182	Mia Gonzalez	Female	26	Bachelor's	Electronics and Communication	University of Delaware	Placed	65000	3.7	1.0
183	Alexander Rodriguez	Male	23	Bachelor's	Information Technology	University of California--San Francisco	Placed	66000	3.8	3.0
184	Olivia Moore	Female	25	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
185	Jack Bailey	Male	26	Bachelor's	Electrical Engineering	University of Virginia	Placed	64000	3.9	2.0
186	Charlotte Ross	Female	24	Bachelor's	Mechanical Engineering	University of California--Santa Cruz	Not Placed	0	3.4	1.0
187	Owen Brooks	Male	23	Bachelor's	Computer Science	University of California--San Diego	Placed	65000	3.7	2.0
188	Grace Watson	Female	25	Bachelor's	Electronics and Communication	University of Texas--Austin	Placed	66000	3.8	3.0
189	Emma Brown	Female	23	Bachelor's	Information Technology	University of Maryland--College Park	Placed	61000	3.7	2.0
190	Noah Garcia	Male	24	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	64000	3.8	3.0
191	Sophia Martinez	Female	25	Bachelor's	Electrical Engineering	University of California--Los Angeles	Placed	66000	3.9	3.0
192	Liam Rodriguez	Male	26	Bachelor's	Mechanical Engineering	University of Virginia	Placed	67000	3.9	3.0
193	Olivia Smith	Female	24	Bachelor's	Electronics and Communication	University of Texas--Austin	Placed	68000	3.9	3.0
194	Ethan Johnson	Male	23	Bachelor's	Computer Science	University of Pennsylvania	Not Placed	0	3.7	2.0
195	Ava Williams	Female	25	Bachelor's	Information Technology	University of Washington	Placed	67000	3.8	3.0
196	Liam Brown	Male	26	Bachelor's	Electrical Engineering	University of California--Berkeley	Placed	66000	3.9	3.0
197	Amelia Smith	Female	24	Bachelor's	Mechanical Engineering	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
198	William Garcia	Male	23	Bachelor's	Electronics and Communication	University of Colorado--Boulder	Placed	66000	3.7	2.0
199	Olivia Brown	Female	25	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
200	Elijah Garcia	Male	24	Bachelor's	Information Technology	University of Maryland--College Park	Placed	63000	3.7	2.0
201	Emma Brown	Female	23	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	64000	3.8	3.0
202	Noah Garcia	Male	24	Bachelor's	Electrical Engineering	University of California--Los Angeles	Placed	66000	3.9	3.0
203	Sophia Martinez	Female	25	Bachelor's	Mechanical Engineering	University of Virginia	Placed	67000	3.9	3.0
204	Liam Rodriguez	Male	26	Bachelor's	Electronics and Communication	University of Texas--Austin	Placed	68000	3.9	3.0
205	Olivia Smith	Female	24	Bachelor's	Computer Science	University of Pennsylvania	Not Placed	0	3.7	2.0
206	Ethan Johnson	Male	23	Bachelor's	Information Technology	University of Washington	Placed	67000	3.8	3.0
207	Ava Williams	Female	25	Bachelor's	Electrical Engineering	University of California--Berkeley	Placed	66000	3.9	3.0
208	Liam Brown	Male	26	Bachelor's	Mechanical Engineering	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
209	Amelia Smith	Female	24	Bachelor's	Electronics and Communication	University of Colorado--Boulder	Placed	66000	3.7	2.0
210	William Garcia	Male	23	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
211	Olivia Brown	Female	25	Bachelor's	Information Technology	University of Maryland--College Park	Placed	63000	3.7	2.0
212	Elijah Garcia	Male	24	Bachelor's	Electrical Engineering	University of Michigan--Ann Arbor	Placed	64000	3.8	3.0
213	Emma Brown	Female	23	Bachelor's	Mechanical Engineering	University of California--Los Angeles	Placed	66000	3.9	3.0
214	Noah Garcia	Male	24	Bachelor's	Electronics and Communication	University of Virginia	Placed	67000	3.9	3.0
215	Sophia Martinez	Female	25	Bachelor's	Computer Science	University of Texas--Austin	Placed	68000	3.9	3.0
216	Liam Rodriguez	Male	26	Bachelor's	Information Technology	University of Pennsylvania	Not Placed	0	3.7	2.0
217	Olivia Smith	Female	24	Bachelor's	Electrical Engineering	University of Washington	Placed	67000	3.8	3.0
218	Ethan Johnson	Male	23	Bachelor's	Mechanical Engineering	University of California--Berkeley	Placed	66000	3.9	3.0
219	Ava Williams	Female	25	Bachelor's	Electronics and Communication	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
220	Liam Brown	Male	26	Bachelor's	Computer Science	University of Colorado--Boulder	Placed	66000	3.7	2.0
221	Amelia Smith	Female	24	Bachelor's	Information Technology	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
222	William Garcia	Male	23	Bachelor's	Electrical Engineering	University of Maryland--College Park	Placed	63000	3.7	2.0
223	Olivia Brown	Female	25	Bachelor's	Mechanical Engineering	University of Michigan--Ann Arbor	Placed	64000	3.8	3.0
224	Elijah Garcia	Male	24	Bachelor's	Electronics and Communication	University of California--Los Angeles	Placed	66000	3.9	3.0
225	Emma Brown	Female	23	Bachelor's	Computer Science	University of Virginia	Placed	67000	3.9	3.0
226	Noah Garcia	Male	24	Bachelor's	Information Technology	University of Texas--Austin	Placed	68000	3.9	3.0
227	Sophia Martinez	Female	25	Bachelor's	Electrical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
228	Liam Rodriguez	Male	26	Bachelor's	Mechanical Engineering	University of Washington	Placed	67000	3.8	3.0
229	Olivia Smith	Female	24	Bachelor's	Electronics and Communication	University of California--Berkeley	Placed	66000	3.9	3.0
230	Ethan Johnson	Male	23	Bachelor's	Computer Science	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
231	Ava Williams	Female	25	Bachelor's	Information Technology	University of Colorado--Boulder	Placed	66000	3.7	2.0
232	Liam Brown	Male	26	Bachelor's	Electrical Engineering	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
233	Amelia Smith	Female	24	Bachelor's	Mechanical Engineering	University of Maryland--College Park	Placed	63000	3.7	2.0
234	William Garcia	Male	23	Bachelor's	Electronics and Communication	University of Michigan--Ann Arbor	Placed	64000	3.8	3.0
235	Olivia Brown	Female	25	Bachelor's	Computer Science	University of California--Los Angeles	Placed	66000	3.9	3.0
236	Elijah Garcia	Male	24	Bachelor's	Information Technology	University of Virginia	Placed	67000	3.9	3.0
237	Emma Brown	Female	23	Bachelor's	Electrical Engineering	University of Texas--Austin	Placed	68000	3.9	3.0
238	Noah Garcia	Male	24	Bachelor's	Mechanical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
239	Sophia Martinez	Female	25	Bachelor's	Electronics and Communication	University of Washington	Placed	67000	3.8	3.0
240	Liam Rodriguez	Male	26	Bachelor's	Computer Science	University of California--Berkeley	Placed	66000	3.9	3.0
241	Olivia Smith	Female	24	Bachelor's	Information Technology	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
242	Ethan Johnson	Male	23	Bachelor's	Electrical Engineering	University of Colorado--Boulder	Placed	66000	3.7	2.0
243	Ava Williams	Female	25	Bachelor's	Mechanical Engineering	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
244	Liam Brown	Male	26	Bachelor's	Electronics and Communication	University of Maryland--College Park	Placed	63000	3.7	2.0
245	Amelia Smith	Female	24	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	64000	3.8	3.0
246	William Garcia	Male	23	Bachelor's	Information Technology	University of California--Los Angeles	Placed	66000	3.9	3.0
247	Olivia Brown	Female	25	Bachelor's	Electrical Engineering	University of Virginia	Placed	67000	3.9	3.0
248	Elijah Garcia	Male	24	Bachelor's	Mechanical Engineering	University of Texas--Austin	Placed	68000	3.9	3.0
249	Emma Brown	Female	23	Bachelor's	Electronics and Communication	University of Pennsylvania	Not Placed	0	3.7	2.0
250	Noah Garcia	Male	24	Bachelor's	Computer Science	University of Washington	Placed	67000	3.8	3.0
251	Sophia Martinez	Female	25	Bachelor's	Information Technology	University of California--Berkeley	Placed	66000	3.9	3.0
